Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV
FPix_BmO_D1_BLD11_PNL2_RNG1,HC2-Disk1-Inner,1T,M-Q-4-23,4119W,15,1Ta,1TD,6,PR113,,PB-16,J12,4,,,CI-A 036,P88,22,SN133278/0001,15,30201210004615,A,0x7b,0x10,-z down right 3,1,-z down right 2,2,1,brown-4,31/32,7,b,1307,bottom,,10,1,1,1a1,
FPix_BmO_D1_BLD10_PNL2_RNG1,,2T,M-Q-4-16,4117W,14,1Ta,1TD,4,PR113,,PB-16,J12,4,,,CI-A 036,P88,21,SN133278/0002,15,30201210004615,A,0x7b,0x10,-z down right 3,2,-z down right 2,2,2,brown-4,7/8,7,t,1307,bottom,,10,1,1,1a1,
FPix_BmO_D1_BLD9_PNL2_RNG1,,3T,M-Q-1-09,4121W,13,1Ta,1TD,2,PR113,,PB-16,J12,4,,,CI-A 036,P88,20,SN133278/0003,15,30201210004615,A,0x7b,0x10,-z down right 3,3,-z down right 2,2,3,brown-4,31/32,6,b,1306,bottom,,10,1,1,1a1,
FPix_BmO_D1_BLD8_PNL2_RNG1,,4T,M-K-3-27,4118W,15,1Tb,1TC,6,PR149,,PB-4,J12,4,,,CI-A 027,FP26,18,SN133278/0005,15,30201210004615,B,0x7c,0x10,-z down right 4,1,-z down right 2,2,5,orange-2,27/28,5,b,1305,bottom,,10,1,2,1b1,
FPix_BmO_D1_BLD7_PNL2_RNG1,,5T,M-Q-7-35,4092,14,1Tb,1TC,2,PR149,,PB-4,J12,4,,,CI-A 027,FP26,16,SN133278/0007,15,30201210004615,B,0x7c,0x10,-z down right 4,3,-z down right 2,2,7,orange-2,27/28,4,b,1304,bottom,,10,1,2,1b1,
FPix_BmO_D1_BLD6_PNL2_RNG1,,6T,M-Q-3-15,4091,15,1Tc,1TB,6,PR126,,PB-21,J12,4,,,CI-A 035,P87,11,SN133278/0008,9,30201210004662,A,0x7e,0x10,-z up right 4,3,-z up right 2,2,8,brown-4,7/8,4,t,1304,bottom,,9,1,1,1c1,
FPix_BmO_D1_BLD5_PNL2_RNG1,,7T,M-Q-7-27,4102W,14,1Tc,1TB,4,PR126,,PB-21,J12,4,,,CI-A 035,P87,10,SN133278/0009,9,30201210004662,A,0x7e,0x10,-z up right 4,2,-z up right 2,2,9,brown-4,31/32,3,b,1303,bottom,,9,1,1,1c1,
FPix_BmO_D1_BLD4_PNL2_RNG1,,8T,M-Q-A-39,4093,13,1Tc,1TB,2,PR126,,PB-21,J12,4,,,CI-A 035,P87,5,SN133278/0010,9,30201210004662,A,0x7e,0x10,-z up right 4,1,-z up right 2,2,10,brown-4,7/8,3,t,1303,bottom,,9,1,1,1c1,
FPix_BmO_D1_BLD3_PNL2_RNG1,,9T,M-L-2-25,4101W,15,1Td,1TA,6,PR156,,PB-31,J12,4,,,CI-A 033,FP24,3,SN122498/0033,9,30201210004662,B,0x7d,0x10,-z up right 3,3,-z up right 2,2,12,orange-2,3/4,2,t,1302,bottom,,9,1,2,1d1,
FPix_BmO_D1_BLD2_PNL2_RNG1,,10T,M-Q-A-46,4094,14,1Td,1TA,4,PR156,,PB-31,J12,4,,,CI-A 033,FP24,2,SN122498/0049,9,30201210004662,B,0x7d,0x10,-z up right 3,2,-z up right 2,2,13,orange-2,27/28,1,b,1301,bottom,,9,1,2,1d1,
