Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group
FPix_BpI_D1_BLD11_PNL2_RNG1,HC3-Disk1-Inner,1T,M-P-2-46,4083,15,1Ta,1TD,6,PR103,,PB-10,J12,4,,,CI-A 053,P101,22,SN112498/0029,15,30201210004670,A,0x7b,0x10,+z down right 3,1,+z down right 2,2,1,brown-4,31/32,7,b,1286,top,,10,1,1,1a3
FPix_BpI_D1_BLD10_PNL2_RNG1,,2T,M-P-2-47,4070,14,1Ta,1TD,4,PR103,,PB-10,J12,4,,,CI-A 053,P101,21,SN112498/0026,15,30201210004670,A,0x7b,0x10,+z down right 3,2,+z down right 2,2,2,brown-4,7/8,7,t,1286,top,,10,1,1,1a3
FPix_BpI_D1_BLD9_PNL2_RNG1,,3T,M-P-1-07,4081,13,1Ta,1TD,2,PR103,,PB-10,J12,4,,,CI-A 053,P101,20,SN112498/0002,15,30201210004670,A,0x7b,0x10,+z down right 3,3,+z down right 2,2,3,brown-4,31/32,6,b,1285,top,,10,1,1,1a3
FPix_BpI_D1_BLD8_PNL2_RNG1,,4T,M-P-5-45,4078,15,1Tb,1TC,6,PR105,,PB-2,J12,4,,,CI-A 040,P102,18,SN112498/0037,15,30201210004670,B,0x7c,0x10,+z down right 4,1,+z down right 2,2,5,orange-2,27/28,5,b,1284,top,,10,1,2,1b3
FPix_BpI_D1_BLD7_PNL2_RNG1,,5T,M-P-6-33,4085,14,1Tb,1TC,2,PR105,,PB-2,J12,4,,,CI-A 040,P102,16,SN112498/0006,15,30201210004670,B,0x7c,0x10,+z down right 4,3,+z down right 2,2,7,orange-2,27/28,4,b,1283,top,,10,1,2,1b3
FPix_BpI_D1_BLD6_PNL2_RNG1,,6T,M-P-4-20,4080,15,1Tc,1TB,6,PR108,,PB-48,J12,4,,,CI-A 028,P96,11,SN112498/0010,9,30201210004664,A,0x7e,0x10,+z up right 4,3,+z up right 2,2,8,brown-4,7/8,4,t,1283,top,,9,1,1,1c3
FPix_BpI_D1_BLD5_PNL2_RNG1,,7T,M-P-2-27,4079,14,1Tc,1TB,4,PR108,,PB-48,J12,4,,,CI-A 028,P96,10,SN112498/0009,9,30201210004664,A,0x7e,0x10,+z up right 4,2,+z up right 2,2,9,brown-4,31/32,3,b,1282,top,,9,1,1,1c3
FPix_BpI_D1_BLD4_PNL2_RNG1,,8T,M-G-2-13,4072,13,1Tc,1TB,2,PR108,,PB-48,J12,4,,,CI-A 028,P96,5,SN112498/0008,9,30201210004664,A,0x7e,0x10,+z up right 4,1,+z up right 2,2,10,brown-4,7/8,3,t,1282,top,,9,1,1,1c3
FPix_BpI_D1_BLD3_PNL2_RNG1,,9T,M-P-5-17,4008,15,1Td,1TA,6,PR106,,PB-27,J12,4,,,CI-A 042,P119,3,SN112498/0031,9,30201210004664,B,0x7d,0x10,+z up right 3,3,+z up right 2,2,12,orange-2,3/4,2,t,1281,top,,9,1,2,1d3
FPix_BpI_D1_BLD2_PNL2_RNG1,,10T,M-Q-6-06,4064,14,1Td,1TA,4,PR106,,PB-27,J12,4,,,CI-A 042,P119,2,SN112498/0030,9,30201210004664,B,0x7d,0x10,+z up right 3,2,+z up right 2,2,13,orange-2,27/28,1,b,1280,top,,9,1,2,1d3
