#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC0         A        9      1     1     15      0      0      1287       7     0
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC1         A        9      1     1     15      0      1      1287       7     1
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC2         A        9      1     1     15      0      2      1287       7     2
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC3         A        9      1     1     15      0      3      1287       7     3
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC4         A        9      1     1     15      1      4      1287       7     4
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC5         A        9      1     1     15      1      5      1287       7     5
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC6         A        9      1     1     15      1      6      1287       7     6
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC7         A        9      1     1     15      1      7      1287       7     7
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC8         B        9      1     1     15      2      8      1287       8     0
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC9         B        9      1     1     15      2      9      1287       8     1
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC10         B        9      1     1     15      2      10      1287       8     2
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC11         B        9      1     1     15      2      11      1287       8     3
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC12         B        9      1     1     15      3      12      1287       8     4
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC13         B        9      1     1     15      3      13      1287       8     5
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC14         B        9      1     1     15      3      14      1287       8     6
FPix_BpO_D1_BLD1_PNL2_RNG1_ROC15         B        9      1     1     15      3      15      1287       8     7
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC0         A        9      1     1     14      0      0      1287       31     0
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC1         A        9      1     1     14      0      1      1287       31     1
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC2         A        9      1     1     14      0      2      1287       31     2
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC3         A        9      1     1     14      0      3      1287       31     3
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC4         A        9      1     1     14      1      4      1287       31     4
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC5         A        9      1     1     14      1      5      1287       31     5
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC6         A        9      1     1     14      1      6      1287       31     6
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC7         A        9      1     1     14      1      7      1287       31     7
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC8         B        9      1     1     14      2      8      1287       32     0
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC9         B        9      1     1     14      2      9      1287       32     1
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC10         B        9      1     1     14      2      10      1287       32     2
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC11         B        9      1     1     14      2      11      1287       32     3
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC12         B        9      1     1     14      3      12      1287       32     4
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC13         B        9      1     1     14      3      13      1287       32     5
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC14         B        9      1     1     14      3      14      1287       32     6
FPix_BpO_D1_BLD2_PNL2_RNG1_ROC15         B        9      1     1     14      3      15      1287       32     7
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC0         A        9      1     1     13      0      0      1288       7     0
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC1         A        9      1     1     13      0      1      1288       7     1
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC2         A        9      1     1     13      0      2      1288       7     2
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC3         A        9      1     1     13      0      3      1288       7     3
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC4         A        9      1     1     13      1      4      1288       7     4
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC5         A        9      1     1     13      1      5      1288       7     5
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC6         A        9      1     1     13      1      6      1288       7     6
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC7         A        9      1     1     13      1      7      1288       7     7
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC8         B        9      1     1     13      2      8      1288       8     0
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC9         B        9      1     1     13      2      9      1288       8     1
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC10         B        9      1     1     13      2      10      1288       8     2
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC11         B        9      1     1     13      2      11      1288       8     3
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC12         B        9      1     1     13      3      12      1288       8     4
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC13         B        9      1     1     13      3      13      1288       8     5
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC14         B        9      1     1     13      3      14      1288       8     6
FPix_BpO_D1_BLD3_PNL2_RNG1_ROC15         B        9      1     1     13      3      15      1288       8     7
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC0         A        9      1     2     15      0      0      1289       3     0
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC1         A        9      1     2     15      0      1      1289       3     1
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC2         A        9      1     2     15      0      2      1289       3     2
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC3         A        9      1     2     15      0      3      1289       3     3
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC4         A        9      1     2     15      1      4      1289       3     4
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC5         A        9      1     2     15      1      5      1289       3     5
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC6         A        9      1     2     15      1      6      1289       3     6
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC7         A        9      1     2     15      1      7      1289       3     7
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC8         B        9      1     2     15      2      8      1289       4     0
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC9         B        9      1     2     15      2      9      1289       4     1
